"id","source","text","url","created_at","processed"
107,vk_comment,Удочки и червяка напрокат выдають или только фотографировать разрешается😁👍,https://vk.com/wall-38981315_410110?reply=410148,2026-05-21 14:23:00.443,false
108,vk_comment,"Ещё бы Волгу реку привести в порядок ,а то скоро вместо Волги реки будет болото.",https://vk.com/wall-38981315_410110?reply=410152,2026-05-21 14:23:00.443,false
109,vk_comment,Сайт висит сейчас?,https://vk.com/wall-38981315_410031?reply=410057,2026-05-21 14:23:00.443,false
110,vk_comment,А сколько за билет сдерут?хотя бы написали...,https://vk.com/wall-38981315_410031?reply=410078,2026-05-21 14:23:00.443,false
111,vk_comment,Ваша ссылка не открылась,https://vk.com/wall-38981315_410031?reply=410079,2026-05-21 14:23:00.443,false
112,vk_comment,"Здравствуйте,  не получается зайти на сайт, пишет аккаунт не найден, при смене пароля, что символы не подходят. Не могу оформить заявку на сопровождение инвалида",https://vk.com/wall-38981315_410031?reply=410092,2026-05-21 14:23:00.443,false
113,vk_comment,Невозможно зарегистрироваться в приложении.  Отличное приложение!! РЖД  молодцы.,https://vk.com/wall-38981315_410031?reply=410094,2026-05-21 14:23:00.443,false
114,vk_comment,"Здравствуйте, Новороссийск - Воркута, билеты уже неделю не продаются с юга на август. Не подскажите, появятся ли. Людям с отпуска на работу ехать нужно. Сегодня например на 17 августа должны были продавать, но билеты не продаются.",https://vk.com/wall-38981315_410031?reply=410097,2026-05-21 14:23:00.443,false
115,vk_comment,А когда прекратится хождения этих контролёров попрошаек.    Надоели уже всём. Неужели какк в автобусе нельзя придумать систему.,https://vk.com/wall-38981315_410031?reply=410102,2026-05-21 14:23:00.443,false
116,vk_comment,"Ура, еду в Екатеринбург летом.  🥳🚂😮🤩",https://vk.com/wall-38981315_410031?reply=410153,2026-05-21 14:23:00.443,false
117,vk_comment,"Здравствуйте.  Меня интересует вопрос . По продаже билетов в г.Череповец. хотели купить билет из Иркутска пришли на вокзале в 6.00 по местному времени. Продажа билетов открывается в 4.00 по Москве, а на вокзале все кассы закрыты до 8.00. Это как?",https://vk.com/wall-38981315_409961?reply=409978,2026-05-21 14:23:00.443,false
118,vk_comment,"Скажите , почему при ограничении интернета не работает ваше приложение РЖД? Даже Озон работает!",https://vk.com/wall-38981315_409961?reply=409988,2026-05-21 14:23:00.443,false
